[*] Detected Video Port: 57919
[*] Detected Aux Port: 54294
[0192] [TS: 1773208135755812200] Client(57919) -> Proj(3621) | VIDEO DATA | len=892 | hex=85a149a45aac305e9dbe7091c0880560
[0193] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=a0196f50b8d2e5b3bb48dd959229048d
[0194] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=35ba4f2b2392d1ef4661c63047cb8c92
[0195] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=fb524eb76b1ed717390c587a9ea7eb59
[0196] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=c0cfeb9ac693c57632c372da61fb6496
[0197] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=20539007b54d55ec22960b28229d91e5
[0198] [TS: 1773208135755869500] Client(57919) -> Proj(3621) | VIDEO DATA | len=892 | hex=29917855239418b50beb58527332416b
[0199] [TS: 1773208135767173900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=cc4368c171c85e84e4f15464d57c5ff6
[0200] [TS: 1773208135767173900] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=248a48cdeaa3286650577b6d0319cb73
[0201] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=16c8a4c800daccce142024f5c919edcf
[0202] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=33deb929bc1da8bc374be659932ca1ff
[0203] [TS: 1773208135770601000] Client(57919) -> Proj(3621) | VIDEO DATA | len=1460 | hex=0304766ae8742d226d3752d4651e5a5a
